Zeit:;SDP1_01_330SY_RPM.Current_Value;SDP1_08_111TT.PV;SDP1_01_340TT.PV;SDP1_01_346PT.PV;SDP1_01_310SY_RPM.Current_Value;SDP1_01_326PT.PV;SDP1_01_370SY_RPM.Current_Value;SDP1_01_386PT.PV;SDP1_01_340TIC.SP;SDP1_56_665FT.PV;SDP1_56_461DT.PV;SDP1_56_361DT.PV;SDP1_02_230SY.PV;SDP1_08_110TT.PV;SDP1_56_565FT.PV
04.12.2021 19:57:05.668;;68,0;;;;;;;;;;;;69;
04.12.2021 19:57:06.589;;;90,0;;;;;;;;;;;;
04.12.2021 19:57:27.230;;;;;;;;201;;;;;;;
04.12.2021 19:57:28.215;;;;203;;;;;;;;;;;
04.12.2021 19:57:38.449;;;;;;197;;;;;;;;;
04.12.2021 19:57:39.418;;;;;;;;;;;;;;;11393,88
04.12.2021 19:57:39.918;;;;;;;;;;;;;;;11396,80
04.12.2021 19:57:39.949;;;;;;198;;;;;;;;;
04.12.2021 19:57:46.230;;;;;;;;201;;;;;;;
04.12.2021 19:57:50.090;;;90,1;;;;;;;;;;;;
04.12.2021 19:57:58.934;;;;;;;;;;;;;;;11401,50
04.12.2021 19:57:59.496;;;;;;198;;;;;;;;;
04.12.2021 19:58:03.668;;;;;;;;;;;;;;69;
04.12.2021 19:58:04.231;;;;203;;;;;;;;;;;
04.12.2021 19:58:13.169;;68,1;;;;;;;;;;;;;
04.12.2021 19:58:15.872;;;;;;;;;;;1,1830;0,9958;;;
04.12.2021 19:58:59.935;66;;;;65,9;;;;;;;;;;
04.12.2021 19:59:00.591;;;89,9;;;;;;;;;;;;
04.12.2021 19:59:00.747;;;;;;;65,6;;;;;;;;
04.12.2021 19:59:00.935;66;;;;65,5;;;;;;;;;;
04.12.2021 19:59:01.247;;;;;;;65,5;;;;;;;;
04.12.2021 19:59:05.716;;;;200;;;;;;;;;;;
04.12.2021 19:59:20.716;;;;;;;;198;;;;;;;
04.12.2021 19:59:33.466;;;;;;194;;;;;;;;;
04.12.2021 19:59:40.419;;;;;;;;;;;;;;;11299,37
04.12.2021 19:59:48.935;66;;;;66,0;;;;;;;;;;
04.12.2021 19:59:49.169;;;;;;;66,0;;;;;;;;
04.12.2021 20:00:51.033;;;;;;;;;;;;;;69;
04.12.2021 20:00:56.160;;;;204;;;;;;;;;;;
04.12.2021 20:01:15.645;;;;;;;;201;;;;;;;
04.12.2021 20:01:37.631;;68,6;;;;;;;;;;;;;
04.12.2021 20:01:39.209;;;;204;;;;;;;;;;;
04.12.2021 20:01:41.147;;;90,1;;;;;;;;;;;;
04.12.2021 20:01:42.709;;;;;;;;201;;;;;;;
04.12.2021 20:01:44.412;;;;;;;;;;;;;;;11360,89
04.12.2021 20:01:44.443;;;;;;198;;;;;;;;;
04.12.2021 20:01:44.912;;;;;;;;;;;;;;;11358,22
04.12.2021 20:01:44.943;;;;;;197;;;;;;;;;
04.12.2021 20:01:45.631;;;90,2;;;;;;;;;;;;
04.12.2021 20:01:46.115;;;;;;;;;;;;;;69;
04.12.2021 20:01:47.943;;;;;;197;;;;;;;;;
04.12.2021 20:01:51.693;;;;204;;;;;;;;;;;
04.12.2021 20:01:55.693;;;;204;;;;;;;;;;;
04.12.2021 20:02:03.693;;;;;;;;201;;;;;;;
04.12.2021 20:02:12.162;;;;;;;;201;;;;;;;
04.12.2021 20:02:14.928;66;;;;66,1;;;;;;;;;;
04.12.2021 20:02:15.241;;;;;;;66,1;;;;;;;;
04.12.2021 20:02:16.225;;;;;;;66,5;;;;;;;;
04.12.2021 20:02:16.444;66;;;;66,5;;;;;;;;;;
04.12.2021 20:02:33.725;;;;;;;66,0;;;;;;;;
04.12.2021 20:02:33.928;66;;;;66,0;;;;;;;;;;
04.12.2021 20:02:46.350;;;;;;;;;;;;;97,0;;
04.12.2021 20:02:56.070;;;90,1;;;;;;;;;;;;
04.12.2021 20:03:39.273;;;;;;;;;;;;;;69;
04.12.2021 20:04:07.165;;;;207;;;;;;;;;;;
04.12.2021 20:04:08.415;;;;;;;;;;;;;;;11473,24
04.12.2021 20:04:49.978;66;;;;66,5;;;;;;;;;;
04.12.2021 20:04:50.196;;;;;;;66,5;;;;;;;;
04.12.2021 20:05:00.993;;;;;;203;;;;;;;;;
04.12.2021 20:05:16.587;;;90,6;;;;;;;;;;;;
04.12.2021 20:05:25.681;;;;;;;;205;;;;;;;
04.12.2021 20:05:27.181;;;;;;;;205;;;;;;;
04.12.2021 20:05:38.683;;;;207;;;;;;;;;;;
04.12.2021 20:05:48.089;;;;;;;;;;;;;;69;
04.12.2021 20:05:48.448;;;;;;202;;;;;;;;;
04.12.2021 20:05:49.417;;;;;;;;;;;;;;;11462,60
04.12.2021 20:05:49.902;;;;;;;;;;;;;;;11465,68
04.12.2021 20:05:49.948;;;;;;202;;;;;;;;;
04.12.2021 20:05:50.667;;;;207;;;;;;;;;;;
04.12.2021 20:05:57.152;;;;;;;;205;;;;;;;
04.12.2021 20:06:01.589;;;90,5;;;;;;;;;;;;
04.12.2021 20:06:05.652;;;;;;;;205;;;;;;;
04.12.2021 20:06:29.433;;;;;;;;;;;;;;;11462,83
04.12.2021 20:06:31.980;67;;;;66,6;;;;;;;;;;
04.12.2021 20:06:32.683;;;;;;;66,9;;;;;;;;
04.12.2021 20:06:32.980;67;;;;67,0;;;;;;;;;;
04.12.2021 20:06:33.183;;;;;;;67,0;;;;;;;;
04.12.2021 20:06:37.308;;68,7;;;;;;;;;;;;;
04.12.2021 20:06:39.652;;;;;;;;208;;;;;;;
04.12.2021 20:06:57.464;;;;;;206;;;;;;;;;
04.12.2021 20:07:02.933;66;;;;66,5;;;;;;;;;;
04.12.2021 20:07:03.183;;;;;;;66,5;;;;;;;;
04.12.2021 20:07:35.809;;;;;;;;;;;;;;69;
04.12.2021 20:08:15.905;;68,8;;;;;;;;;1,1825;0,9958;;69;
04.12.2021 20:08:29.936;;;;;;;;;;;;;;;11553,84
04.12.2021 20:08:46.173;;;;211;;;;;;;;;;;
04.12.2021 20:09:18.095;;;90,1;;;;;;;;;;;;
04.12.2021 20:09:33.454;;;;;;201;;;;;;;;;
04.12.2021 20:09:50.938;67;;;;67,0;;;;;;;;;;
04.12.2021 20:09:51.204;;;;;;;67,0;;;;;;;;
04.12.2021 20:09:53.938;;;;;;;;;;;;;;;11498,48
04.12.2021 20:09:53.970;;;;;;205;;;;;;;;;
04.12.2021 20:09:54.173;;;;210;;;;208;;;;;;;
04.12.2021 20:09:54.657;;;;210;;;;;;;;;;;
04.12.2021 20:09:54.907;;;;;;;;;;;;;;;11500,71
04.12.2021 20:09:55.157;;;;;;;;208;;;;;;;
04.12.2021 20:09:55.470;;;;;;206;;;;;;;;;
04.12.2021 20:10:15.689;;;;;;;66,9;;;;;;;;
04.12.2021 20:10:16.439;67;;;;66,6;;;;;;;;;;
